@@,name,position
+++,Ташиев Камчыбек Кыдыршаевич,Министрлер Кабинетинин Төрагасынын орун басары
+++,Ташиев Камчыбек Кыдыршаевич,Улуттук коопсуздук мамлекеттик комитетинин төрагасы
+++,Осоев Эркинбек Арстанбекович,Транспорт жана коммуникациялар министри
+++,Ниязбеков Улан Омоканович,Ички иштер министри
+++,Кутманова Динара Асиевна,"Жаратылыш ресурстары, экология жана техникалык көзөмөл министри"
+++,Купешев Болотбек Душекович,Билим берүү жана илим министри
+++,Кожошев Арзыбек Орозбекович,Министрлер Кабинетинин Төрагасынын биринчи орун басары
+++,Казакбаев Руслан Айтбаевич,Тышкы иштер министри
+++,Жапаров Акылбек Усенбекович,КР Министрлер Кабинетинин Төрагасы
+++,Жапаров Акылбек Усенбекович,КР Президентинин Администрациясынын Жетекчиси
+++,Жаныбеков Аскарбек Сапарбекович,Айыл чарба министри
+++,Жаманкулов Азамат Капарович,"Маданият, маалымат, спорт жана жаштар саясаты министри"
+++,Догоев Дастан Давлетович,Санариптик өнүктүрүү министри
+++,Бекмурзаев Доскул Джумагулович,Энергетика министри
+++,Бекболотов Бактыбек Асанкалиевич,Коргоо министри
+++,Бейшеналиев Алымкадыр Сабирдинович,Саламаттык сактоо министри
+++,Бакетаев Алмаз Кушбекович,Финансы министри
+++,Байсалов Эдиль Жолдубаевич,Министрлер Кабинетинин Төрагасынын орун басары
+++,Базарбаев Кудайберген Базарбаевич,"Эмгек, социалдык камсыздоо жана миграция министри"
+++,Баетов Аяз Батыркулович,Юстиция министри
+++,Амангельдиев Данияр Джолдошевич,Экономика жана коммерция министри
+++,Ажикеев Бообек Эргешевич,Өзгөчө кырдаалдар министри
+++,Аалиев Азиз Кубанычбекович,Министрлер Кабинетинин Төрагасынын орун басары
