id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q853036,President of Kyrgyzstan,Q813,Q813,,,1990-10-27,,,,President of Kyrgyzstan
Q2333371,Prime Minister of Kyrgyzstan,Q813,Q813,,Q30149639,1991-01-21,,,,Chairman of the Cabinet of Ministers of Kyrgyzstan
Q29561881,Deputy Prime Minister of Kyrgyzstan,,Q813,,,,,,,
Q110084474,"Minister of Agriculture, Food Industry and Melioration",,Q813,,,,,,,
Q110084540,"Minister of Culture, Information and Tourism",,Q813,,,,,,,
Q110084396,Minister of Defense of the Kyrgyz Republic,,Q813,,,,,,,
Q110086213,Minister of Digital Development,Q813,Q813,,,,,,,
Q111008257,Minister of Economic Regulation,Q813,Q813,,,,,,,
Q110086216,Minister of Economics and Commerce,Q813,Q813,,,,,,,
Q112702386,Minister of Economy,Q813,Q813,,,,,,,
Q110086212,Minister of Education and Science,Q813,Q813,,,,,,,
Q110084504,Kyrgyzstan Emergency Situations Minister,,Q813,,,,,,,
Q110086214,Minister of Energy,Q813,Q813,,,,,,,
Q110084386,Minister of Finance,,Q813,,,,,,,
Q109445425,Minister for Foreign Affairs of Kyrgyzstan,Q813,,,,,,,,
Q110086215,Minister of Health,Q813,Q813,,,,,,,
Q110084444,Minister of the Interior,,Q813,,,,,,,
Q110084404,Minister of Justice (Kyrgyzstan),,Q813,,,,,,,
Q110087294,"Minister of Labour, Social Security and Migration",Q813,Q813,,,,,,,
Q110086211,"Minister of Natural Resources, Environmental and Technical Supervision",Q813,Q813,,,,,,,
Q110086208,Minister of Transport and Communications,Q813,Q813,,,,,,,
Q110086186,Chairman of the State Committee for National Security,Q813,Q813,,,,,,,
Q4436204,Speaker of the Supreme Council of Kyrgyzstan,,,,,,,,,List of speakers of the Supreme Council of Kyrgyzstan
Q110086305,Prosecutor General of Kyrgyzstan,,Q813,,,,,,,
Q110086321,Governor of the National Bank of the Kyrgyz Republic,Q813,,,,,,,,
Q110086440,Chief of the General Staff of the Kyrgyz Republic,,,,,,,,,
