name,position
Жапаров Акылбек Усенбекович,КР Министрлер Кабинетинин Төрагасы
Жапаров Акылбек Усенбекович,КР Президентинин Администрациясынын Жетекчиси
Кожошев Арзыбек Орозбекович,Министрлер Кабинетинин Төрагасынын биринчи орун басары
Байсалов Эдиль Жолдубаевич,Министрлер Кабинетинин Төрагасынын орун басары
Аалиев Азиз Кубанычбекович,Министрлер Кабинетинин Төрагасынын орун басары
Ташиев Камчыбек Кыдыршаевич,Министрлер Кабинетинин Төрагасынын орун басары
Ташиев Камчыбек Кыдыршаевич,Улуттук коопсуздук мамлекеттик комитетинин төрагасы
Казакбаев Руслан Айтбаевич,Тышкы иштер министри
Баетов Аяз Батыркулович,Юстиция министри
Бекболотов Бактыбек Асанкалиевич,Коргоо министри
Бакетаев Алмаз Кушбекович,Финансы министри
Амангельдиев Данияр Джолдошевич,Экономика жана коммерция министри
Иманов Талантбек Орускулович,Санариптик өнүктүрүү министри
Ниязбеков Улан Омоканович,Ички иштер министри
Базарбаев Кудайберген Базарбаевич,"Эмгек, социалдык камсыздоо жана миграция министри"
Бейшеналиев Алмазбек Бейшеналиевич,Билим берүү жана илим министри
Бейшеналиев Алымкадыр Сабирдинович,Саламаттык сактоо министри
Осоев Эркинбек Арстанбекович,Транспорт жана коммуникациялар министри
Бекмурзаев Доскул Джумагулович,Энергетика министри
Жаныбеков Аскарбек Сапарбекович,Айыл чарба министри
Ажикеев Бообек Эргешевич,Өзгөчө кырдаалдар министри
Жаманкулов Азамат Капарович,"Маданият, маалымат, спорт жана жаштар саясаты министри"
Кутманова Динара Асиевна,"Жаратылыш ресурстары, экология жана техникалык көзөмөл министри"
