item,itemLabel,startDate,endDate
Q297568,Omurbek Tekebaev,2005-03-27,2006-02-27
,Marat Sultanov,2006-03-02,2007-10-22
,Adahan Madumarov,2007-12-24,2008-05-29
,Aytibay Tagaev,2008-05-29,2009-12-17
,Zaynidin Kurmanov,2009-12-24,2010-06-06
Q4700766,Ahmatbek Keldibekov,2010-12-17,2011-12-14
Q4182022,Asılbek Jeenbekov,2011-12-21,2016-04-13
Q21144397,Chynybaĭ Tursunbekov,2016-04-27,2017-10-25
Q25597842,Dastan Jumabekov,2017-10-25,2020-10-06
Q25597822,Myktybek Abdyldayev,2020-10-06,2020-10-10
Q84720784,Kanatbek Isaev,2020-10-13,2020-11-04
Q25597831,Talant Mamytov,2020-11-04,
