item,itemLabel,position,positionLabel,start,psid
Q110086085,Erkinbek Osoev,Q110086208,Minister of Transport and Communications,2021-10-13,Q110086085-5DB31468-B3AA-494F-9601-9468B8E0AA74
Q110086086,Ulan Niyazbekov,Q110084444,Minister of the Interior,2021-10-13,Q110086086-600DFED0-A580-4159-AD2D-E82BD505C055
Q110086087,Dinara Kutmanova,Q110086211,"Minister of Natural Resources, Environmental and Technical Supervision",2021-10-13,Q110086087-17EAD949-E71D-4BE0-9F44-7F5A33B8E275
Q110086088,Bolotbek Kupeshev,Q110086212,Minister of Education and Science,2021-10-13,Q110086088-41341A27-2392-4FFE-8428-78FA02CBF055
Q110086089,Askar Dzhanybekov,Q110084474,"Minister of Agriculture, Food Industry and Melioration",2021-10-13,Q110086089-36772CD0-C48D-4CC9-B5B9-7CA860527A8B
Q110086090,Azamat Zhamankulov,Q110084540,"Minister of Culture, Information and Tourism",2021-10-13,Q110086090-3DFBCCA1-D1FC-4D29-BAA3-8BA4AB062A86
Q110086091,Dastan Dogoev,Q110086213,Minister of Digital Development,2021-10-26,Q110086091-20B6FC35-7291-4EE6-ADCB-A08CA11EC68E
Q110086092,Doskul Bekmurzaev,Q110086214,Minister of Energy,2021-10-13,Q110086092-FFFEE627-56FE-4CD4-9511-842E49F44925
Q110086093,Baktybek Bekbolotov,Q110084396,Minister of Defense of the Kyrgyz Republic,2021-10-13,Q110086093-CD4C45FD-C3A6-43EC-93FF-D40477BBF3BA
Q110086094,Alymkadyr Beichenaliev,Q110086215,Minister of Health,2021-10-13,Q110086094-B977A027-6B2D-48DC-8546-B40B243FAAF3
Q110086095,Almaz Baketaev,Q110084386,Minister of Finance,2021-10-13,Q110086095-940C5B27-6342-4787-9117-98C501B6E423
Q110086096,Edil Baisalov,Q29561881,Deputy Prime Minister of Kyrgyzstan,2021-10-13,Q110086096-225C700E-1179-4D34-950E-A2F8F14F4443
Q110086097,Ayaz Baetov,Q110084404,Minister of Justice (Kyrgyzstan),2021-10-13,Q110086097-403BA642-D7C7-42CA-98F0-E83DFDFDE8A4
Q110086098,Daniyar Amangeldiev,Q110086216,Minister of Economics and Commerce,2021-10-13,Q110086098-101F3E5A-224A-468B-94C1-6E47572D19C4
Q110086100,Boobek Azhikeev,Q110084504,Kyrgyzstan Emergency Situations Minister,2021-10-13,Q110086100-A7FAABE8-76E9-4C5F-A1EC-F07264CF0596
Q110086101,Aziz Aaliev,Q29561881,Deputy Prime Minister of Kyrgyzstan,2021-10-13,Q110086101-78F483FE-2D60-4F33-B7A0-F62DCAEA3C88
Q110086685,Kudaibergen Bazarbaev,Q110087294,"Minister of Labour, Social Security and Migration",2021-10-13,Q110086685-C1C7A070-32E6-49E7-915F-0D897B84469F
Q110087319,Arzybek Kozhoshev,Q29561881,Deputy Prime Minister of Kyrgyzstan,2021-10-13,Q110087319-20FC02E7-14F2-41A0-BF4A-995A1A55A925
Q1584976,Kamchybek Tashiev,Q110086186,Chairman of the State Committee for National Security,2021-10-13,Q1584976-69631876-1647-4E01-B0F1-F8C98DE22F12
Q1584976,Kamchybek Tashiev,Q29561881,Deputy Prime Minister of Kyrgyzstan,2021-10-13,Q1584976-51ECAF97-2017-4958-A004-9D10B9F21C3E
Q25597826,Sadyr Zhaparov,Q853036,President of Kyrgyzstan,2021-01-28,Q25597826-8824524c-45ad-3b08-9ffc-9c8c564d44e1
Q4060344,Akylbek Japarov,Q2333371,Prime Minister of Kyrgyzstan,2021-10-12,Q4060344-90D7C3C1-8D2E-43F2-A9FA-2168985919E7
Q58312,Ruslan Kazakbayev,Q109445425,Minister for Foreign Affairs of Kyrgyzstan,2020-10-14,Q58312-49d27fbb-4c83-8eaf-b64b-14ff233ac041
