position,title
Q853036,President
Q2333371,Chairman of the Cabinet of Ministers (Prime Minister)
Q29561881,Deputy Chairman of the Cabinet of Ministers
Q110084474,Minister of Agriculture
Q110084540,"Minister of Culture, Information and Tourism"
Q110084396,Minister of Defence
Q110086213,Minister of Digital Development
Q110086216,Minister of Economics and Commerce
Q110086212,Minister of Education and Science
Q110084504,Minister of Emergency Situations
Q110086214,Minister of Energy
Q110084386,Minister of Finance
Q109445425,Minister for Foreign Affairs
Q110086215,Minister of Health
Q110084444,Minister of Internal Affairs
Q110084404,Minister of Justice
Q110087294,"Minister of Labour, Social Security and Migration"
Q110086211,"Minister of Natural Resources, Environmental and Technical Supervision"
Q110086208,Minister of Transport and Communications
Q110086186,Chairman of the State Committee for National Security
Q4436204,Speaker of the Supreme Council
Q110086305,Prosecutor General
Q110086321,Governor of the Central Bank
Q110086440,Chief of the General Staff
